Step,Time,Population
806,0.806000000000001,3.33094673882971
807,0.807000000000001,3.33097058768724
808,0.808000000000001,3.330994198396
809,0.809000000000001,3.33101757333072
810,0.810000000000001,3.33104071484251
811,0.811000000000001,3.33106362525912
812,0.812000000000001,3.33108630688514
813,0.813000000000001,3.33110876200224
814,0.814000000000001,3.3311309928694
815,0.815000000000001,3.33115300172313
816,0.816000000000001,3.33117479077769
817,0.817000000000001,3.33119636222533
818,0.818000000000001,3.33121771823647
819,0.819000000000001,3.33123886095996
820,0.820000000000001,3.33125979252325
821,0.821000000000001,3.33128051503264
822,0.822000000000001,3.33130103057345
823,0.823000000000001,3.33132134121029
824,0.824000000000001,3.33134144898718
825,0.825000000000001,3.33136135592783
826,0.826000000000001,3.3313810640358
827,0.827000000000001,3.33140057529471
828,0.828000000000001,3.33141989166844
829,0.829000000000001,3.33143901510131
830,0.830000000000001,3.33145794751831
831,0.831000000000001,3.33147669082524
832,0.832000000000001,3.33149524690896
833,0.833000000000001,3.33151361763752
834,0.834000000000001,3.33153180486038
835,0.835000000000001,3.33154981040859
836,0.836000000000001,3.33156763609498
837,0.837000000000001,3.3315852837143
838,0.838000000000001,3.33160275504346
839,0.839000000000001,3.33162005184166
840,0.840000000000001,3.33163717585057
841,0.841000000000001,3.33165412879455
842,0.842000000000001,3.33167091238075
843,0.843000000000001,3.33168752829935
844,0.844000000000001,3.33170397822367
845,0.845000000000001,3.33172026381037
846,0.846000000000001,3.33173638669962
847,0.847000000000001,3.33175234851524
848,0.848000000000001,3.33176815086488
849,0.849000000000001,3.33178379534018
850,0.850000000000001,3.33179928351691
851,0.851000000000001,3.33181461695514
852,0.852000000000001,3.33182979719943
853,0.853000000000001,3.3318448257789
854,0.854000000000001,3.33185970420748
855,0.855000000000001,3.33187443398399
856,0.856000000000001,3.33188901659233
857,0.857000000000001,3.33190345350158
858,0.858000000000001,3.33191774616623
859,0.859000000000001,3.33193189602624
860,0.860000000000001,3.33194590450723
861,0.861000000000001,3.33195977302062
862,0.862000000000001,3.33197350296374
863,0.863000000000001,3.33198709572002
864,0.864000000000001,3.33200055265909
865,0.865000000000001,3.33201387513692
866,0.866000000000001,3.33202706449597
867,0.867000000000001,3.33204012206533
868,0.868000000000001,3.33205304916082
869,0.869000000000001,3.33206584708517
870,0.870000000000001,3.33207851712808
871,0.871000000000001,3.33209106056644
872,0.872000000000001,3.33210347866439
873,0.873000000000001,3.33211577267345
874,0.874000000000001,3.33212794383269
875,0.875000000000001,3.3321399933688
876,0.876000000000001,3.33215192249627
877,0.877000000000001,3.33216373241744
878,0.878000000000001,3.3321754243227
879,0.879000000000001,3.33218699939055
880,0.880000000000001,3.33219845878773
881,0.881000000000001,3.33220980366937
882,0.882000000000001,3.33222103517905
883,0.883000000000001,3.33223215444897
884,0.884000000000001,3.33224316260003
885,0.885000000000001,3.33225406074195
886,0.886000000000001,3.33226484997337
887,0.887000000000001,3.332275531382
888,0.888000000000001,3.33228610604468
889,0.889000000000001,3.33229657502751
890,0.890000000000001,3.33230693938597
891,0.891000000000001,3.33231720016499
892,0.892000000000001,3.33232735839909
893,0.893000000000001,3.33233741511248
894,0.894000000000001,3.33234737131913
895,0.895000000000001,3.33235722802291
896,0.896000000000001,3.33236698621767
897,0.897000000000001,3.33237664688734
898,0.898000000000001,3.33238621100605
899,0.899000000000001,3.33239567953821
900,0.900000000000001,3.33240505343857
901,0.901000000000001,3.33241433365241
902,0.902000000000001,3.33242352111554
903,0.903000000000001,3.33243261675444
904,0.904000000000001,3.33244162148636
905,0.905000000000001,3.33245053621938
906,0.906000000000001,3.33245936185253
907,0.907000000000001,3.33246809927586
908,0.908000000000001,3.33247674937054
909,0.909000000000001,3.33248531300896
910,0.910000000000001,3.33249379105479
911,0.911000000000001,3.33250218436308
912,0.912000000000001,3.33251049378036
913,0.913000000000001,3.33251872014469
914,0.914000000000001,3.3325268642858
915,0.915000000000001,3.33253492702509
916,0.916000000000001,3.33254290917582
917,0.917000000000001,3.33255081154308
918,0.918000000000001,3.33255863492396
