Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,30490.4444047641,11927.2844047638
Angle 45,30539.9418794472,11916.4138794468
Angle 45,30589.4393541303,11905.4453541299
Angle 45,30638.9368288133,11894.3788288129
Angle 45,30688.4343034964,11883.214303496
Angle 45,30737.9317781794,11871.951778179
Angle 45,30787.4292528625,11860.5912528621
Angle 45,30836.9267275456,11849.1327275452
Angle 45,30886.4242022286,11837.5762022282
Angle 45,30935.9216769117,11825.9216769113
Angle 45,30985.4191515947,11814.1691515943
Angle 45,31034.9166262778,11802.3186262774
Angle 45,31084.4141009608,11790.3701009604
Angle 45,31133.9115756439,11778.3235756435
Angle 45,31183.409050327,11766.1790503266
Angle 45,31232.90652501,11753.9365250096
Angle 45,31282.4039996931,11741.5959996927
Angle 45,31331.9014743761,11729.1574743757
